,S5INFT Index,S5FINL Index,S5HLTH Index,S5COND Index,S5TELS Index,S5INDU Index,S5CONS Index,S5ENRS Index,S5MATR Index,S5UTIL Index,S5RLST Index
7/11/2022,2291.69,529.21,1521.01,1117.2324,191,738.54,756.14,536.07,458.13,357.08,258.04
7/12/2022,2261.05,525.77,1500.83,1109.079,190.08,736.16,753.79,525.18,457.16,355.25,256.53
7/13/2022,2256.1,520.89,1486.75,1118.617,188.04,727.32,753.86,524.46,454.65,353.69,255.13
7/14/2022,2276.99,510.91,1481.27,1117.899,186.06,723.08,755.1,514.5,446.06,353.74,252.58
7/15/2022,2317.03,528.83,1517.51,1136.971,190.09,734.53,758.09,524.27,453.29,354.46,256.87
7/18/2022,2293.23,526.04,1484.9,1139.447,188.01,730.13,750.62,534.56,454.3,349.5,254.1
7/19/2022,2363.75,542.19,1511.68,1174.622,194.84,756.29,758.75,551.46,468.41,351.87,261.31
7/20/2022,2400.58,543.93,1495.67,1195.355,196.81,761.87,753.22,557.06,468.95,347.08,259.92
7/21/2022,2434.35,547.41,1518.19,1222.212,196.4,767.07,755.96,547.63,475.53,348.09,262.55
7/22/2022,2400.75,544.18,1512.34,1214.177,187.88,764.72,761.15,542.8,472.06,352.85,264.62
7/25/2022,2386.05,547.74,1520.65,1203.883,187.35,768.31,764.63,562.96,474.09,357.29,264.8
7/26/2022,2348.25,540.14,1529.01,1164.086,183.51,764.25,761.01,558.02,470.97,359.46,265.34
7/27/2022,2449.09,548.46,1538.91,1208.906,192.89,776.32,766.95,570.32,476.87,359.85,266.79
7/28/2022,2484.18,552.29,1547.32,1229.065,191.47,792.4,779.12,572.88,484.91,372.55,276.66
7/29/2022,2522.61,560.04,1541.88,1281.509,192.55,808.28,773.5,598.74,491.31,375.65,277.49
8/1/2022,2517.48,555.04,1530.65,1288.075,191.74,809.29,782.83,585.67,487.31,376.03,275.02
8/2/2022,2500.01,549.11,1524.99,1279.015,191.4,800.77,777.06,584.46,482.39,375.2,271.44
8/3/2022,2567.28,557.29,1539.08,1311.187,196.15,808.58,781.6,567.12,483.01,377.75,272.55
8/4/2022,2577.94,555.37,1531.48,1318.302,196.51,811.11,775.44,546.73,483.24,378.2,272.89
8/5/2022,2571.77,559.73,1531.03,1296.453,194.79,812.82,774.28,557.88,484.99,377.08,273.75
8/8/2022,2549.16,558.72,1534.48,1300.289,195.51,812.2,773.78,560.62,487.64,377.53,275.68
8/9/2022,2523.61,561.88,1529.96,1280.319,194.11,809.19,773.16,570.57,485.17,381.54,277.71
8/10/2022,2593.61,574.9,1547.08,1317.113,199.48,827.15,778.9,574.62,499.13,383.27,281.71
8/11/2022,2581.05,580.75,1536.03,1308.408,199.5,830.99,776.4,592.94,500.51,382.73,280.16
